id_part,id_kategori_part,nama_part
117,5,KAWALAN TRUCK TRTN,,,,
118,5,KAWAT SELING HAND REM CNTR,,,,
119,5,KEEP REM RODA DEPAN CNTR,,,,
120,7,KLAKSON 24V CNTR,,,,
121,7,KLAKSON TM 24V CNTR,,,,
122,5,KLEM ACCU BESAR,,,,
123,5,"KLEM SELANG 6""",,,,
124,5,KLIP / KANCING LAKER TRTN,,,,
125,2,KUAS,,,,
126,2,"KUAS 2 1/2""",,,,
127,2,KUNCI DUPLIKAT CNTR,,,,
128,2,KUNCI DUPLIKAT TRTN,,,,
129,2,KUNCI L BINTANG,,,,
130,2,KUNCI RELEASE FILTER MOBIL,,,,
131,2,LAKBAN HITAM (SELF ADHESIVE),,,,
132,5,LAKER / BEARING CNTR 32207,,,,
133,5,LAKER / BEARING CNTR 3780,,,,
134,5,LAKER / BEARING GANTUNG KOPEL CNTR,,,,
135,5,LAKER / BEARING L300,,,,
136,5,LAKER / BEARING LUAR BLKNG CNTR,,,,
137,5,LAKER / BEARING PINION CNTR,,,,
138,5,LAKER / BEARING RODA DALAM TRTN,,,,
139,5,LAKER / BEARING RODA GILA L300,,,,
140,5,LAKER / BEARING TRTN 32217,,,,
141,5,LAKER / BEARING TRTN 32218,,,,
142,5,LAKER / BEARING TRTN 3311,,,,
143,5,LAKER / BEARING TRTN 3313 JR KOYO,,,,
144,5,LAKER / BEARING TRTN TNK70,,,,
145,7,LAMPU BOX L300,,,,
146,7,LAMPU DOP DOBEL 24V PHIL,,,,
147,7,LAMPU DOP ENGKEL 24V KECIL,,,,
148,7,LAMPU DOP H4 12V,,,,
149,7,LAMPU DOP H4 24V,,,,
150,7,LAMPU DOP H4 24V PHIL,,,,
151,7,LAMPU DOP KABUT 24V,,,,
152,7,LAMPU DOP LED ,,,,
153,7,LAMPU DOP T10 (KOTA),,,,
154,7,LAMPU LED 24V,,,,
155,9,LEM ALTECO,,,,
156,9,LEM LOCTIDE,,,,
157,9,LEM SEALANT 300 ML,,,,
158,9,LEM SEALANT 300 ML (CLEAR ),,,,
159,9,LEM SEALANT RED,,,,
160,9,LEM SILICON KECIL,,,,
161,9,LEM THREEBOND ,,,,
162,3,MARSET R.16,,,,
163,3,MARSET R.16 AKS,,,,
164,3,MARSET R.16 GP,,,,
165,3,MARSET R.20,,,,
166,3,MARSET R.20 AKS,,,,
167,3,MARSET R.20 DB,,,,
168,4,MASTER KOPLING ATAS CNTR,,,,
169,4,MASTER KOPLING ATAS TRTN,,,,
170,4,MASTER KOPLING BAWAH CNTR,,,,
171,10,MATAHARI KM001189 L300,,,,
172,4,METAL BULAN TRTN,,,,
173,4,METAL DUDUK TRTN STD,,,,
174,4,METAL JALAN TRTN,,,,
175,4,METAL PAD / NOKEN AS TRTN,,,,
176,1,MINYAK REM 1 LITER,,,,
177,1,MINYAK REM 300 ML,,,,
178,1,MINYAK REM JUMBO 1 LITER,,,,
179,1,MINYAK REM JUMBO 20 LITER,,,,
180,1,MINYAK REM PRESTONE 1 LITER,,,,
181,10,MOTOR ENGINE STOP CNTR,,,,
182,1,OLI GARDAN CASTROL TRANSMAX 80W-90 1 LITER,,,,
183,1,OLI GARDAN RORED EPA SAE 140 1 LITER,,,,
184,1,OLI GARDAN RORED EPA SAE 140 4 LITER,,,,
185,1,OLI GARDAN RORED EPA SAE 90 1 LITER,,,,
186,1,OLI GARDAN RORED EPA SAE 90 4 LITER,,,,
187,1,OLI GARDAN RORED HDA SAE 140 4 LITER,,,,
188,1,OLI GARDAN RORED HDA SAE 90 4 LITER,,,,
189,1,OLI HIDROLIS SAE 10 1 LITER,,,,
190,1,OLI MESIN 15 LITER,,,,
191,1,OLI MESIN HELIX HX3 4 LITER,,,,
192,1,OLI MESIN HELIX HX5 4 LITER,,,,
193,1,OLI MESIN HELIX HX5 5 LITER,,,,
194,1,OLI MESIN HELIX HX6 4 LITER,,,,
195,1,OLI MESIN MEDITRAN SC 10 LITER,,,,
196,1,OLI MESIN MEDITRAN SC 209 LITER,,,,
197,1,OLI MESIN MEDITRAN SC 5 LITER,,,,
198,1,OLI MESIN PANAOIL GASONIX 10W-40 4 LITER,,,,
199,1,OLI POWER STEERING 1 LITER,,,,
200,1,OLI SILICON,,,,
201,10,PACK KOLTER LOHAN,,,,
202,4,PACKING CYLINDER CUP FRKLFT,,,,
203,10,PACKING SET L300,,,,
204,10,PACKING SET TRTN,,,,
205,4,PAKU RIVET / KAMPAS ( ISI 50 ),,,,
206,10,PANGKON MESIN LOHAN,,,,
207,5,PEN PER + NIPPEL TRTN,,,,
208,5,PEN PER DEPAN TRTN,,,,
209,10,PENETRATING OIL X-REIN 5711,,,,
210,7,PENGAMAN KABEL /METER,,,,
211,5,PER HN52 NO.2 TRTN,,,,
212,5,PER K101 NO.1 TRTN,,,,
213,2,PIPA LEDENG BESI,,,,
214,5,PIR DEPAN NO.1 TRTN,,,,
215,5,PIR DEPAN NO.2 TRTN,,,,
216,5,PIR DEPAN NO.3 TRTN,,,,
217,5,PIR DEPAN NO.4 TRTN,,,,
218,4,PISTON BOSTER KOPLING KIT TRTN 19MM,,,,
219,4,PISTON KOPLING BAWAH TRTN 19MM,,,,
220,4,PISTON ORI STD L300,,,,
221,4,PISTON REM BAWAH TRTN,,,,
222,10,PITMAN ARM 555 L300,,,,
223,2,POWER BELT DRESSING X-REIN 5721,,,,
224,10,POWER SHIFT ASSY TRTN,,,,
225,10,PUMP SOLAR ASSY TRTN ND,,,,
226,10,REFIL GAS PORTABLE,,,,
227,7,RELAY FRKLFT,,,,
228,10,RELLAY 24V CNTR,,,,
229,10,RELLAY BLOCK TRTN,,,,
230,4,REPAIR KIT BOSTER KOPLING TRTN,,,,
231,4,REPAIR KIT KOPLING ATAS  TRTN,,,,
232,10,REPAIR KIT MASTER REM TRTN,,,,
233,10,REPAIR KIT PEDAL REM TRTN,,,,
234,4,REPAIR KIT POWER STEERING TRTN,,,,
235,10,REPAIR KIT SNAIL REM LOHAN,,,,
236,10,RING AS BOGGIE TRTN,,,,
237,4,RING PISTON STD L300,,,,
238,9,SEAL DEBU / WELLBUD CNTR,,,,
239,9,SEAL DEBU / WELLBUD TRTN,,,,
240,9,SEAL GARDAN CNTR,,,,
241,4,SEAL KOPLING ATAS TRTN,,,,
242,4,SEAL KOPLING BAWAH TRTN,,,,
243,9,SEAL POMPA DONGKRAK,,,,
244,9,SEAL RUMAH BOGGIE TRTN,,,,
245,4,SEAL STEMPET CNTR,,,,
246,9,SEAL TRANSMISI DEPAN TRTN,,,,
247,3,SEALANT TAPE FLASHBAND,,,,
248,10,SELANG FLEKSIBEL TRTN,,,,
249,10,SELANG GAJAH TRTN,,,,
250,1,SELANG HIDROLIC 25 SN-04 P.5.5MM,,,,
251,10,SELANG PU 12.8 /METER,,,,
252,10,SELANG PU 4.6 /METER,,,,
253,10,SELANG PU 5.8 /METER,,,,
254,10,SELANG RADIATOR EURO,,,,
255,7,SELING / KABEL GAS GRDMX,,,,
256,10,SNAIL PENDEK TS LOHAN,,,,
257,10,SNAIL REM LOHAN,,,,
258,6,SPION CNTR,,,,
259,6,SPION EURO 2 L TRTN,,,,
260,6,SPION EURO 2 R TRTN,,,,
261,10,SPIRAL /METER,,,,
262,10,SPUL DINAMO KIPAS + BROSTEL/ANGKER TRTN,,,,
263,6,STANG WIPER CNTR,,,,
264,4,STEMPET / GREASE,,,,
265,4,STEMPET / GREASE KYODO,,,,
266,4,STEMPET / GREASE TIMAC,,,,
267,4,STEMPET / GREASE TOP 1,,,,
268,6,STIKER PASS TAHUNAN MEIKO / UNIT,,,,
269,6,STIKER SN CARGO 110 x 13,,,,
270,6,STIKER SN CARGO 140 x 14,,,,
271,6,STIKER SN CARGO 150 x 14,,,,
272,6,STIKER SN CARGO 30 x 34,,,,
273,5,SUNDUK PER DEPAN CNTR,,,,
274,5,SUNDUK PER DEPAN TRTN,,,,
275,7,SWITCH KLAKSON 24V TRTN,,,,
276,7,SWITCH MUNDUR (ATRET) CNTR,,,,
277,7,SWITCH PUMP ASSY TRTN,,,,
278,7,SWITCH RELLAY BLOK TRTN,,,,
279,4,SYLINDER KOPLING PENDEK TRTN,,,,
280,10,TANCO,,,,
281,5,TEFLON REM TRTN,,,,
282,6,"TERPAL 1 x 10,1",,,,
283,6,TERPAL 4 x 11,,,,
284,6,TERPAL A8 6 x 10,,,,
285,2,THERMOSTAT GRDMX,,,,
286,1,THINNER,,,,
287,10,TIE ROAD CNTR,,,,
288,10,TRIPLEK 6L,,,,
289,10,TUTUP TANGKI DNY GRDMX,,,,
290,10,VERBUS BORING / LINER BLOK MESIN L300,,,,
291,2,WATER PUMP AISIN L300,,,,
292,2,WATER SEPARATOR ASSY CNTR,,,,
293,4,WHEEL CYLINDER BLKNG CNTR,,,,
294,4,WHEEL CYLINDER TRTN,,,,
295,6,"WIPER 16""",,,,
296,6,"WIPER 18""",,,,
297,6,"WIPER 20""",,,,
298,6,WIPER LINK CNTR,,,,
299,7,LAMPU DOP ENGKEL 24V BESAR,,,,
300,10,NEPEL ACCU,,,,
301,2,"KUNCI SOCKET 3/4"" 55 MM TEKIRO",,,,
302,4,KAMPAS REM BELAKANG TRTN,,,,
303,4,PAKU RIVET / KAMPAS 4.8 MM ( ISI 500 PCS ),,,,
304,10,"RING 10"" ( ISI 100 PCS )",,,,
305,10,SHOCK DEPAN NISSAN TRTN,,,,
306,10,PANGKON MESIN EURO TRTN,,,,
307,5,KANCINGAN LAKER / BEARING,,,,
